freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.093e+08,4.068e+08,4.031e+08,1.219e+09
1.4,2.045e+09,2.032e+09,2.013e+09,6.090e+09
2.9,1.634e+09,1.618e+09,1.595e+09,4.847e+09
4.3,9.929e+08,9.814e+08,9.640e+08,2.938e+09
5.8,5.140e+08,5.085e+08,5.001e+08,1.523e+09
7.2,2.768e+08,2.745e+08,2.711e+08,8.224e+08
8.7,1.421e+08,1.413e+08,1.402e+08,4.236e+08
10.1,7.052e+07,7.010e+07,6.947e+07,2.101e+08
11.6,6.826e+07,6.783e+07,6.719e+07,2.033e+08
13.0,8.296e+07,8.221e+07,8.113e+07,2.463e+08
14.5,9.024e+07,8.934e+07,8.793e+07,2.675e+08
15.9,7.462e+07,7.383e+07,7.268e+07,2.211e+08
17.4,4.913e+07,4.875e+07,4.817e+07,1.460e+08
18.8,3.232e+07,3.215e+07,3.190e+07,9.637e+07
20.3,2.251e+07,2.239e+07,2.224e+07,6.714e+07
21.7,2.789e+07,2.774e+07,2.754e+07,8.317e+07
23.1,3.255e+07,3.231e+07,3.195e+07,9.681e+07
24.6,3.544e+07,3.510e+07,3.463e+07,1.052e+08
26.0,3.080e+07,3.054e+07,3.014e+07,9.147e+07
27.5,2.168e+07,2.151e+07,2.129e+07,6.447e+07
28.9,1.529e+07,1.521e+07,1.510e+07,4.560e+07
30.4,1.153e+07,1.148e+07,1.140e+07,3.441e+07
31.8,1.347e+07,1.338e+07,1.327e+07,4.011e+07
33.3,1.571e+07,1.559e+07,1.542e+07,4.672e+07
34.7,1.724e+07,1.708e+07,1.685e+07,5.117e+07
36.2,1.597e+07,1.582e+07,1.562e+07,4.742e+07
37.6,1.238e+07,1.230e+07,1.220e+07,3.689e+07
39.1,9.127e+06,9.064e+06,9.010e+06,2.720e+07
40.5,7.958e+06,7.908e+06,7.865e+06,2.373e+07
41.9,8.737e+06,8.679e+06,8.607e+06,2.602e+07
43.4,1.105e+07,1.095e+07,1.082e+07,3.281e+07
44.8,1.079e+07,1.069e+07,1.053e+07,3.202e+07
46.3,9.793e+06,9.696e+06,9.556e+06,2.904e+07
47.7,7.794e+06,7.756e+06,7.688e+06,2.324e+07
49.2,5.801e+06,5.779e+06,5.746e+06,1.733e+07
50.6,5.157e+06,5.130e+06,5.101e+06,1.539e+07
52.1,6.310e+06,6.253e+06,6.198e+06,1.876e+07
53.5,7.222e+06,7.150e+06,7.070e+06,2.144e+07
55.0,7.748e+06,7.655e+06,7.568e+06,2.297e+07
56.4,7.298e+06,7.225e+06,7.146e+06,2.167e+07
57.9,5.408e+06,5.361e+06,5.320e+06,1.609e+07
59.3,4.475e+06,4.450e+06,4.430e+06,1.336e+07
60.8,4.587e+06,4.576e+06,4.547e+06,1.371e+07
62.2,5.591e+06,5.570e+06,5.527e+06,1.669e+07
63.6,6.802e+06,6.769e+06,6.698e+06,2.027e+07
65.1,6.490e+06,6.449e+06,6.375e+06,1.931e+07
66.5,5.486e+06,5.437e+06,5.385e+06,1.631e+07
68.0,4.748e+06,4.712e+06,4.685e+06,1.415e+07
69.4,3.756e+06,3.711e+06,3.695e+06,1.116e+07
70.9,3.898e+06,3.848e+06,3.831e+06,1.158e+07
72.3,4.169e+06,4.121e+06,4.089e+06,1.238e+07
73.8,4.830e+06,4.767e+06,4.709e+06,1.431e+07
75.2,4.939e+06,4.896e+06,4.829e+06,1.466e+07
76.7,4.644e+06,4.624e+06,4.584e+06,1.385e+07
78.1,3.790e+06,3.796e+06,3.781e+06,1.137e+07
79.6,3.152e+06,3.155e+06,3.142e+06,9.449e+06
81.0,3.023e+06,3.020e+06,3.009e+06,9.052e+06
82.5,3.718e+06,3.684e+06,3.657e+06,1.106e+07
83.9,4.216e+06,4.166e+06,4.123e+06,1.251e+07
85.3,4.108e+06,4.039e+06,3.995e+06,1.214e+07
86.8,3.756e+06,3.691e+06,3.650e+06,1.110e+07
88.2,3.152e+06,3.111e+06,3.093e+06,9.357e+06
89.7,2.717e+06,2.696e+06,2.697e+06,8.110e+06
91.1,2.834e+06,2.832e+06,2.828e+06,8.494e+06
92.6,3.031e+06,3.027e+06,3.007e+06,9.065e+06
94.0,3.367e+06,3.357e+06,3.321e+06,1.004e+07
95.5,3.116e+06,3.116e+06,3.090e+06,9.321e+06
96.9,3.061e+06,3.039e+06,3.009e+06,9.110e+06
98.4,2.776e+06,2.754e+06,2.736e+06,8.266e+06
99.8,2.646e+06,2.610e+06,2.597e+06,7.853e+06
101.3,2.840e+06,2.798e+06,2.793e+06,8.431e+06
102.7,2.871e+06,2.831e+06,2.817e+06,8.519e+06
104.2,3.384e+06,3.339e+06,3.315e+06,1.004e+07
105.6,3.349e+06,3.323e+06,3.301e+06,9.973e+06
107.0,2.990e+06,2.980e+06,2.968e+06,8.938e+06
108.5,2.648e+06,2.655e+06,2.655e+06,7.958e+06
109.9,2.497e+06,2.497e+06,2.487e+06,7.480e+06
111.4,2.616e+06,2.616e+06,2.604e+06,7.836e+06
112.8,2.880e+06,2.863e+06,2.850e+06,8.593e+06
114.3,2.838e+06,2.811e+06,2.789e+06,8.438e+06
115.7,2.950e+06,2.909e+06,2.881e+06,8.739e+06
117.2,2.807e+06,2.769e+06,2.752e+06,8.329e+06
118.6,2.633e+06,2.608e+06,2.601e+06,7.841e+06
120.1,2.438e+06,2.413e+06,2.407e+06,7.257e+06
121.5,2.682e+06,2.666e+06,2.657e+06,8.005e+06
123.0,2.849e+06,2.838e+06,2.827e+06,8.514e+06
124.4,2.667e+06,2.646e+06,2.624e+06,7.937e+06
125.8,2.719e+06,2.705e+06,2.684e+06,8.108e+06
127.3,2.588e+06,2.571e+06,2.562e+06,7.721e+06
128.7,2.405e+06,2.396e+06,2.396e+06,7.197e+06
130.2,2.332e+06,2.321e+06,2.322e+06,6.975e+06
131.6,2.472e+06,2.453e+06,2.448e+06,7.373e+06
133.1,2.731e+06,2.717e+06,2.707e+06,8.155e+06
134.5,2.653e+06,2.631e+06,2.612e+06,7.896e+06
136.0,2.551e+06,2.538e+06,2.525e+06,7.614e+06
137.4,2.323e+06,2.307e+06,2.296e+06,6.926e+06
138.9,2.247e+06,2.232e+06,2.221e+06,6.699e+06
140.3,2.167e+06,2.146e+06,2.141e+06,6.454e+06
141.8,2.346e+06,2.329e+06,2.328e+06,7.002e+06
143.2,2.363e+06,2.333e+06,2.323e+06,7.019e+06
144.7,2.440e+06,2.413e+06,2.402e+06,7.255e+06
146.1,2.651e+06,2.637e+06,2.633e+06,7.921e+06
147.5,2.443e+06,2.435e+06,2.432e+06,7.311e+06
149.0,2.181e+06,2.186e+06,2.185e+06,6.551e+06
150.4,2.113e+06,2.118e+06,2.116e+06,6.347e+06
151.9,2.145e+06,2.143e+06,2.134e+06,6.422e+06
153.3,2.437e+06,2.430e+06,2.416e+06,7.282e+06
154.8,2.473e+06,2.449e+06,2.441e+06,7.364e+06
156.2,2.392e+06,2.372e+06,2.374e+06,7.137e+06
157.7,2.388e+06,2.356e+06,2.359e+06,7.103e+06
159.1,2.087e+06,2.052e+06,2.049e+06,6.188e+06
160.6,2.056e+06,2.029e+06,2.025e+06,6.110e+06
162.0,2.102e+06,2.081e+06,2.074e+06,6.257e+06
