freq,psd_x,psd_y,psd_z,psd_xyz
163.5,2.082e+06,2.081e+06,2.077e+06,6.240e+06
164.9,2.298e+06,2.304e+06,2.300e+06,6.902e+06
166.4,2.583e+06,2.595e+06,2.588e+06,7.767e+06
167.8,2.287e+06,2.300e+06,2.306e+06,6.893e+06
169.2,2.125e+06,2.126e+06,2.126e+06,6.377e+06
170.7,2.121e+06,2.104e+06,2.103e+06,6.328e+06
172.1,2.300e+06,2.272e+06,2.267e+06,6.839e+06
173.6,2.308e+06,2.270e+06,2.266e+06,6.844e+06
175.0,2.228e+06,2.186e+06,2.178e+06,6.593e+06
176.5,2.102e+06,2.075e+06,2.071e+06,6.248e+06
177.9,2.051e+06,2.036e+06,2.037e+06,6.125e+06
179.4,1.978e+06,1.976e+06,1.973e+06,5.928e+06
180.8,1.788e+06,1.796e+06,1.794e+06,5.378e+06
182.3,1.825e+06,1.836e+06,1.839e+06,5.500e+06
183.7,2.277e+06,2.293e+06,2.297e+06,6.867e+06
185.2,2.250e+06,2.246e+06,2.248e+06,6.744e+06
186.6,2.098e+06,2.083e+06,2.075e+06,6.257e+06
188.1,2.030e+06,2.002e+06,1.995e+06,6.027e+06
189.5,2.055e+06,2.026e+06,2.028e+06,6.109e+06
190.9,2.081e+06,2.053e+06,2.049e+06,6.184e+06
192.4,2.194e+06,2.163e+06,2.151e+06,6.508e+06
193.8,2.382e+06,2.368e+06,2.365e+06,7.116e+06
195.3,2.459e+06,2.455e+06,2.457e+06,7.371e+06
196.7,2.392e+06,2.396e+06,2.398e+06,7.186e+06
198.2,2.264e+06,2.263e+06,2.260e+06,6.786e+06
199.6,2.091e+06,2.088e+06,2.080e+06,6.259e+06
