freq,psd_x,psd_y,psd_z,psd_xyz
73.3,1.461e+08,2.106e+08,2.119e+08,5.686e+08
74.8,1.448e+08,2.164e+08,2.178e+08,5.790e+08
76.4,1.229e+08,1.704e+08,1.714e+08,4.647e+08
77.9,1.105e+08,1.517e+08,1.527e+08,4.149e+08
79.4,1.092e+08,1.542e+08,1.552e+08,4.187e+08
80.9,1.060e+08,1.466e+08,1.473e+08,3.999e+08
82.5,1.066e+08,1.456e+08,1.463e+08,3.984e+08
84.0,1.169e+08,1.543e+08,1.552e+08,4.265e+08
85.5,1.052e+08,1.335e+08,1.345e+08,3.732e+08
87.1,1.004e+08,1.333e+08,1.341e+08,3.678e+08
88.6,1.139e+08,1.427e+08,1.436e+08,4.002e+08
90.1,1.079e+08,1.328e+08,1.338e+08,3.745e+08
91.6,1.011e+08,1.302e+08,1.308e+08,3.621e+08
93.2,9.320e+07,1.264e+08,1.271e+08,3.467e+08
94.7,1.003e+08,1.268e+08,1.275e+08,3.546e+08
96.2,1.086e+08,1.254e+08,1.263e+08,3.603e+08
97.7,1.068e+08,1.182e+08,1.188e+08,3.438e+08
99.3,9.496e+07,1.030e+08,1.038e+08,3.017e+08
100.8,8.911e+07,9.790e+07,9.864e+07,2.857e+08
102.3,1.021e+08,1.108e+08,1.114e+08,3.244e+08
103.9,9.369e+07,1.029e+08,1.035e+08,3.001e+08
105.4,8.380e+07,9.738e+07,9.798e+07,2.792e+08
106.9,7.830e+07,9.391e+07,9.452e+07,2.667e+08
108.4,8.465e+07,9.486e+07,9.539e+07,2.749e+08
110.0,8.930e+07,9.391e+07,9.461e+07,2.778e+08
111.5,8.702e+07,8.916e+07,8.983e+07,2.660e+08
113.0,8.881e+07,9.377e+07,9.440e+07,2.770e+08
114.5,8.380e+07,8.967e+07,9.030e+07,2.638e+08
116.1,8.595e+07,8.776e+07,8.832e+07,2.620e+08
117.6,8.883e+07,8.753e+07,8.821e+07,2.646e+08
119.1,9.364e+07,8.567e+07,8.626e+07,2.656e+08
120.7,9.120e+07,8.127e+07,8.180e+07,2.543e+08
122.2,8.946e+07,8.075e+07,8.143e+07,2.516e+08
123.7,8.375e+07,7.502e+07,7.561e+07,2.344e+08
125.2,7.874e+07,6.875e+07,6.927e+07,2.168e+08
126.8,7.858e+07,7.416e+07,7.471e+07,2.275e+08
128.3,8.018e+07,7.232e+07,7.297e+07,2.255e+08
129.8,8.224e+07,7.098e+07,7.163e+07,2.249e+08
131.3,8.156e+07,7.406e+07,7.457e+07,2.302e+08
132.9,7.783e+07,7.131e+07,7.196e+07,2.211e+08
134.4,7.969e+07,6.783e+07,6.856e+07,2.161e+08
135.9,7.749e+07,6.813e+07,6.872e+07,2.143e+08
137.5,7.131e+07,6.192e+07,6.249e+07,1.957e+08
139.0,7.356e+07,6.538e+07,6.605e+07,2.050e+08
140.5,7.316e+07,6.333e+07,6.391e+07,2.004e+08
142.0,7.757e+07,6.443e+07,6.495e+07,2.070e+08
143.6,7.520e+07,6.368e+07,6.430e+07,2.032e+08
145.1,8.066e+07,6.866e+07,6.921e+07,2.185e+08
146.6,8.906e+07,7.376e+07,7.437e+07,2.372e+08
148.1,8.063e+07,6.727e+07,6.803e+07,2.159e+08
149.7,7.746e+07,6.330e+07,6.395e+07,2.047e+08
151.2,7.829e+07,6.471e+07,6.541e+07,2.084e+08
152.7,7.913e+07,6.494e+07,6.566e+07,2.097e+08
154.3,7.916e+07,6.235e+07,6.304e+07,2.046e+08
155.8,8.047e+07,6.222e+07,6.274e+07,2.054e+08
157.3,8.154e+07,6.689e+07,6.740e+07,2.158e+08
158.8,7.499e+07,6.520e+07,6.563e+07,2.058e+08
160.4,7.145e+07,6.266e+07,6.306e+07,1.972e+08
161.9,7.046e+07,5.852e+07,5.902e+07,1.880e+08
163.4,7.604e+07,5.919e+07,5.978e+07,1.950e+08
164.9,7.274e+07,6.057e+07,6.122e+07,1.945e+08
166.5,6.886e+07,5.739e+07,5.799e+07,1.842e+08
168.0,7.620e+07,6.346e+07,6.409e+07,2.037e+08
169.5,8.183e+07,6.751e+07,6.824e+07,2.176e+08
171.1,7.297e+07,5.576e+07,5.645e+07,1.852e+08
172.6,6.851e+07,5.247e+07,5.305e+07,1.740e+08
174.1,7.044e+07,5.403e+07,5.454e+07,1.790e+08
175.6,6.492e+07,4.935e+07,4.981e+07,1.641e+08
177.2,6.389e+07,5.045e+07,5.100e+07,1.653e+08
178.7,6.272e+07,5.070e+07,5.116e+07,1.646e+08
180.2,6.465e+07,5.182e+07,5.227e+07,1.687e+08
181.7,7.106e+07,5.466e+07,5.510e+07,1.808e+08
183.3,7.229e+07,5.602e+07,5.655e+07,1.849e+08
184.8,6.918e+07,5.398e+07,5.445e+07,1.776e+08
186.3,7.190e+07,5.718e+07,5.776e+07,1.868e+08
187.9,6.840e+07,5.532e+07,5.586e+07,1.796e+08
189.4,6.657e+07,5.315e+07,5.373e+07,1.735e+08
190.9,7.010e+07,5.294e+07,5.359e+07,1.766e+08
192.4,7.064e+07,5.392e+07,5.444e+07,1.790e+08
194.0,7.170e+07,5.563e+07,5.621e+07,1.835e+08
195.5,7.066e+07,5.305e+07,5.365e+07,1.774e+08
197.0,6.410e+07,4.830e+07,4.877e+07,1.612e+08
198.5,6.179e+07,4.808e+07,4.850e+07,1.584e+08
