freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.243e+08,3.404e+08,3.469e+08,1.012e+09
1.5,1.914e+09,2.010e+09,2.051e+09,5.975e+09
3.1,2.027e+09,1.918e+09,1.956e+09,5.902e+09
4.6,1.568e+09,1.500e+09,1.520e+09,4.588e+09
6.1,1.071e+09,1.103e+09,1.111e+09,3.284e+09
7.6,9.730e+08,1.032e+09,1.035e+09,3.039e+09
9.2,9.460e+08,9.810e+08,9.833e+08,2.910e+09
10.7,7.551e+08,7.634e+08,7.644e+08,2.283e+09
12.2,6.039e+08,6.134e+08,6.142e+08,1.832e+09
13.7,5.922e+08,6.036e+08,6.043e+08,1.800e+09
15.3,5.771e+08,5.917e+08,5.919e+08,1.761e+09
16.8,5.141e+08,5.336e+08,5.342e+08,1.582e+09
18.3,4.655e+08,4.989e+08,5.000e+08,1.464e+09
19.9,4.344e+08,4.723e+08,4.730e+08,1.380e+09
21.4,4.161e+08,4.467e+08,4.472e+08,1.310e+09
22.9,4.054e+08,4.330e+08,4.336e+08,1.272e+09
24.4,4.177e+08,4.354e+08,4.356e+08,1.289e+09
26.0,4.122e+08,4.415e+08,4.420e+08,1.296e+09
27.5,3.630e+08,4.070e+08,4.075e+08,1.178e+09
29.0,3.244e+08,3.598e+08,3.604e+08,1.045e+09
30.5,3.228e+08,3.786e+08,3.794e+08,1.081e+09
32.1,3.116e+08,3.804e+08,3.813e+08,1.073e+09
33.6,2.778e+08,3.387e+08,3.397e+08,9.563e+08
35.1,2.921e+08,3.581e+08,3.590e+08,1.009e+09
36.7,2.645e+08,3.184e+08,3.197e+08,9.025e+08
38.2,2.575e+08,3.144e+08,3.157e+08,8.876e+08
39.7,2.497e+08,3.115e+08,3.126e+08,8.737e+08
41.2,2.174e+08,2.861e+08,2.871e+08,7.905e+08
42.8,2.257e+08,3.189e+08,3.199e+08,8.646e+08
44.3,2.160e+08,3.251e+08,3.265e+08,8.676e+08
45.8,2.115e+08,3.256e+08,3.273e+08,8.644e+08
47.3,2.067e+08,3.052e+08,3.067e+08,8.187e+08
48.9,2.267e+08,3.172e+08,3.189e+08,8.629e+08
50.4,2.065e+08,2.962e+08,2.979e+08,8.006e+08
51.9,1.941e+08,2.853e+08,2.870e+08,7.664e+08
53.5,1.881e+08,2.748e+08,2.762e+08,7.390e+08
55.0,1.813e+08,2.612e+08,2.626e+08,7.051e+08
56.5,1.857e+08,2.896e+08,2.909e+08,7.662e+08
58.0,1.792e+08,2.736e+08,2.750e+08,7.277e+08
59.6,1.737e+08,2.621e+08,2.635e+08,6.992e+08
61.1,1.877e+08,2.821e+08,2.837e+08,7.535e+08
62.6,1.614e+08,2.613e+08,2.627e+08,6.853e+08
64.1,1.702e+08,2.692e+08,2.707e+08,7.102e+08
65.7,1.606e+08,2.385e+08,2.398e+08,6.389e+08
67.2,1.542e+08,2.257e+08,2.269e+08,6.067e+08
68.7,1.297e+08,2.022e+08,2.033e+08,5.352e+08
70.3,1.227e+08,1.832e+08,1.842e+08,4.902e+08
71.8,1.375e+08,2.019e+08,2.031e+08,5.424e+08
