freq,psd_x,psd_y,psd_z,psd_xyz
142.8,4.853e+03,1.968e+03,2.098e+02,7.031e+03
144.3,4.321e+03,2.728e+03,1.817e+02,7.230e+03
145.9,3.337e+03,2.948e+03,1.886e+02,6.474e+03
147.4,2.498e+03,2.718e+03,1.773e+02,5.393e+03
148.9,2.862e+03,2.435e+03,1.818e+02,5.479e+03
150.5,4.162e+03,2.133e+03,1.749e+02,6.469e+03
152.0,4.738e+03,1.920e+03,1.778e+02,6.836e+03
153.5,5.050e+03,1.887e+03,1.666e+02,7.104e+03
155.1,5.370e+03,1.924e+03,1.671e+02,7.462e+03
156.6,5.371e+03,1.979e+03,1.699e+02,7.520e+03
158.1,5.853e+03,2.346e+03,1.547e+02,8.354e+03
159.7,6.627e+03,3.372e+03,1.380e+02,1.014e+04
161.2,7.788e+03,4.386e+03,1.519e+02,1.233e+04
162.7,8.365e+03,4.552e+03,1.744e+02,1.309e+04
164.3,8.272e+03,4.620e+03,1.869e+02,1.308e+04
165.8,9.521e+03,5.033e+03,1.948e+02,1.475e+04
167.4,1.098e+04,5.246e+03,1.874e+02,1.642e+04
168.9,1.171e+04,5.162e+03,1.893e+02,1.706e+04
170.4,1.206e+04,5.004e+03,2.061e+02,1.728e+04
172.0,1.252e+04,4.901e+03,2.203e+02,1.764e+04
173.5,1.227e+04,5.067e+03,2.495e+02,1.758e+04
175.0,1.165e+04,5.516e+03,2.553e+02,1.742e+04
176.6,1.079e+04,5.759e+03,2.182e+02,1.677e+04
178.1,8.125e+03,5.937e+03,1.765e+02,1.424e+04
179.6,7.432e+03,6.160e+03,1.544e+02,1.375e+04
181.2,1.013e+04,6.479e+03,1.667e+02,1.677e+04
182.7,1.162e+04,6.775e+03,1.724e+02,1.857e+04
184.2,1.174e+04,6.898e+03,1.988e+02,1.884e+04
185.8,1.132e+04,7.157e+03,2.421e+02,1.872e+04
187.3,1.146e+04,7.358e+03,2.405e+02,1.906e+04
188.8,1.140e+04,7.533e+03,2.466e+02,1.918e+04
190.4,1.099e+04,7.897e+03,2.904e+02,1.917e+04
191.9,1.125e+04,8.572e+03,3.255e+02,2.015e+04
193.5,1.106e+04,1.055e+04,3.191e+02,2.194e+04
195.0,1.033e+04,1.293e+04,2.918e+02,2.355e+04
196.5,9.092e+03,1.489e+04,2.575e+02,2.424e+04
198.1,8.823e+03,1.718e+04,2.332e+02,2.623e+04
199.6,1.001e+04,1.960e+04,2.200e+02,2.982e+04
